Name,Year,Gender
Billie Eilish,2021,Unknown
A$AP Rocky,2021,Male
Rihanna,2021,Female
Jennifer Lopez,2021,Female
Lil Nas X,2021,Male
Lorde,2021,Female
Timothée Chalamet,2021,Male
Iman,2021,Female
Kaia Gerber,2021,Female
Kendall Jenner,2021,Female
Zoë Kravitz,2021,Female
Gigi Hadid,2021,Female
Maisie Williams,2021,Female
Jennifer Hudson,2021,Female
Emily Ratajkowski,2021,Female
Emily Blunt,2021,Female
Ciara,2021,Female
Megan Fox,2021,Female
Lily-Rose Depp,2021,Female
Shawn Mendes,2021,Male
Camilla Cabello,2021,Unknown
Justin Bieber,2021,Male
Hailey Bieber,2021,Female
Kim Kardashian,2021,Female
Rosé,2021,Female
Carey Mulligan,2021,Female
Kristen Stewart,2021,Female
Gemma Chan,2021,Female
Yara Shahidi,2021,Female
Normani,2021,Female
Olivia Rodrigo,2021,Female
Lupita Nyong'o,2021,Female
Grimes,2021,Female
Brooklyn Beckham,2021,Male
Nicola Peltz,2021,Unknown
Naomi Osaka,2021,Unknown
Emma Chamberlain,2021,Female
Keke Palmer,2021,Female
Karlie Kloss,2021,Female
Wes Gordon,2021,Unknown
Hailee Steinfeld,2021,Female
Megan Thee Stallion,2021,Female
Tracee Ellis Ross,2021,Female
Eiza González,2021,Female
Dan Levy,2021,Male
Tom Ford,2021,Male
Ella Emhoff,2021,Female
Lili Reinhart,2021,Female
Barbie Ferreira,2021,Female
Anok Yai,2021,Female
Ilana Glazer,2021,Female
Zoey Deutch,2021,Female
Saweetie,2021,Female
Julia Garner,2021,Female
Evan Mock,2021,Male
Kit Harington,2021,Male
Rose Leslie,2021,Female
Taraji P. Henson,2021,Female
Troye Sivan,2021,Male
Serena Williams,2021,Female
Alexis Ohanian,2021,Male
Rachel Smith,2021,Female
Adrien Brody,2021,Male
Georgina Chapman,2021,Female
Anna Wintour,2021,Female
Elliot Page,2021,Non-binary
Madison Beer,2021,Female
Carolyn B. Maloney,2021,Female
Amanda Gorman,2021,Female
Eva Chen,2021,Female
Alicia Quarles,2021,Female
Finneas,2021,Male
Bee Carrozzini,2021,Female
Adam Mosseri,2021,Male
Monica Mosseri,2021,Female
Nia Dennis,2021,Female
Charles Shaffer,2021,Male
Elizabeth Cordry Shaffer,2021,Female
Julia Carey,2021,Female
James Corden,2021,Male
Sophia Roe,2021,Female
Leon Bridges,2021,Male
Valentina Sampaio,2021,Female
Storm Reid,2021,Female
Chance the Rapper,2021,Male
Kirsten Corley,2021,Female
Jordan Roth,2021,Male
Zac Posen,2021,Male
Debbie Harry,2021,Female
Ben Platt,2021,Male
Kim Petras,2021,Female
Mj Rodriguez,2021,Female
Nikkie de Jager,2021,Female
Irina Shayk,2021,Female
Addison Rae,2021,Female
Pete Davidson,2021,Male
Channing Tatum,2021,Male
Rachel Zegler,2021,Female
Cynthia Erivo,2021,Female
Diane von Furstenberg,2021,Unknown
Lourdes Leon,2021,Female
Donatella Versace,2021,Female
Megan Rapinoe,2021,Female
Precious Lee,2021,Female
Chloe Fineman,2021,Female
Kris Jenner,2021,Female
Mary J. Blige,2021,Female
Imaan Hammam,2021,Female
Gillian Anderson,2021,Female
Dominic Cooper,2021,Male
Frank Ocean,2021,Male
Taylor Hill,2021,Female
Jordan Alexander,2021,Female
Alexandria Ocasio-Cortez,2021,Female
Aurora James,2021,Female
Mindy Kaling,2021,Female
Virgil Abloh,2021,Male
Sienna Miller,2021,Unknown
Taika Waititi,2021,Male
Rita Ora,2021,Female
Gabrielle Union,2021,Female
Claire Danes,2021,Female
Hugh Dancy,2021,Male
Chloe Bailey,2021,Female
Halle Bailey,2021,Female
Alicia Keys,2021,Female
Sharon Stone,2021,Unknown
Winnie Harlow,2021,Female
Kate Hudson,2021,Female
Tessa Thompson,2021,Female
Cara Delevingne,2021,Female
Vittoria Ceretti,2021,Female
Hunter Schafer,2021,Female
Laura Harrier,2021,Female
Diane Kruger,2021,Female
Whoopi Goldberg,2021,Female
Janet Mock,2021,Female
Lily Aldridge,2021,Female
Paloma Elsesser,2021,Female
Adut Akech,2021,Female
Sunisa Lee,2021,Female
Isabelle Huppert,2021,Female
Aldis Hodge,2021,Male
Alton Mason,2021,Male
Maluma,2021,Male
Blake Lively,2022,Female
Pete Davidson,2022,Male
Kim Kardashian,2022,Female
Bella Hadid,2022,Female
