Name,Year,Average Sentiment
Rihanna,2022,0.08508481012658228
Rihanna,2023,0.027631223628691984
Rihanna,2024,0.10625862068965518
Rihanna,2025,0.10008758169934641
Lorde,2022,0.0
Lorde,2025,0.6369
Iman,2022,0.18685464480874317
Iman,2023,0.3526
Iman,2024,0.0
Iman,2025,0.21075
Gigi Hadid,2022,0.09471
Gigi Hadid,2023,0.0
Gigi Hadid,2024,0.0
Gigi Hadid,2025,0.0
Ciara,2022,0.2250224043715847
Ciara,2023,0.2542666666666667
Ciara,2024,0.0
Ciara,2025,0.09531666666666666
Megan Fox,2022,0.14952222222222222
Megan Fox,2024,0.0
Camilla Cabello,2022,0.1101
Camilla Cabello,2024,0.0
Justin Bieber,2022,0.0
Hailey Bieber,2025,0.5267
Kim Kardashian,2024,-0.9154
Rosé,2022,0.05120534351145038
Rosé,2023,0.0052214953271028045
Rosé,2024,0.10422499999999998
Rosé,2025,0.12404
Gemma Chan,2022,-0.1531
Yara Shahidi,2022,0.0
Normani,2022,0.11221866666666666
Olivia Rodrigo,2022,-0.02115454545454546
Olivia Rodrigo,2023,0.09722222222222222
Olivia Rodrigo,2024,0.0
Grimes,2022,-0.004154545454545441
Nicola Peltz,2022,0.0
Naomi Osaka,2022,-0.1806
Naomi Osaka,2023,0.3182
Emma Chamberlain,2022,0.08368666666666666
Emma Chamberlain,2023,-0.2279
Emma Chamberlain,2024,-0.20095
Emma Chamberlain,2025,0.5448
Lili Reinhart,2022,0.0
Anok Yai,2022,0.0
Zoey Deutch,2022,0.0
Saweetie,2022,0.0
Evan Mock,2022,-0.13608571428571428
Serena Williams,2025,0.6369
Anna Wintour,2022,-0.02423157894736842
Anna Wintour,2023,0.5525166666666667
Anna Wintour,2024,0.31115
Anna Wintour,2025,0.1878142857142857
Elliot Page,2022,0.0
Amanda Gorman,2022,0.0
Finneas,2022,0.8316
Zac Posen,2022,0.21075
Ben Platt,2022,0.0
Irina Shayk,2024,0.31845
Addison Rae,2022,0.043000000000000003
Addison Rae,2025,0.0
Pete Davidson,2022,-0.21469999999999997
Pete Davidson,2023,-0.6249
Cynthia Erivo,2022,0.0
Cynthia Erivo,2025,0.0
Chloe Fineman,2023,0.0
Frank Ocean,2022,0.0
Frank Ocean,2025,0.0
Taylor Hill,2022,-0.1589
Taylor Hill,2025,0.0
Virgil Abloh,2025,0.0
Rita Ora,2022,0.0
Rita Ora,2024,0.0
Rita Ora,2025,-0.1531
Chloe Bailey,2022,-0.08854999999999999
Kate Hudson,2022,-0.5719
Cara Delevingne,2022,0.0
Laura Harrier,2022,-0.1531
Laura Harrier,2025,0.27861428571428576
Maluma,2022,0.14297894736842107
Maluma,2023,0.21230000000000002
Maluma,2024,0.0
Maluma,2025,0.1533888888888889
Ryan Reynolds,2022,0.0
Cardi B,2022,0.06031818181818182
Cardi B,2024,0.1223
Cardi B,2025,0.11649285714285715
Sydney Sweeney,2023,-0.1027
Sydney Sweeney,2024,-0.02509999999999999
Lizzo,2022,0.1467032967032967
Lizzo,2023,0.05637142857142857
Lizzo,2024,-0.010495294117647058
Lizzo,2025,-0.020187500000000004
Miranda Kerr,2023,0.0
Jessica Chastain,2022,0.15713333333333337
Jessica Chastain,2024,0.0
Gwen Stefani,2022,0.1806
Camila Cabello,2022,0.1379692307692308
Camila Cabello,2024,-0.1589
Bradley Cooper,2025,0.0
Dove Cameron,2022,0.3262625
Dove Cameron,2024,0.1032
Sza,2022,0.31424
Sza,2023,-0.05103333333333334
Sza,2025,-0.102275
Awkwafina,2022,-0.004109523809523809
